Distance_(cm),Gray_Value
0.00000,79.667
0.01802,76.735
0.03604,76.710
0.05405,78.760
0.07207,83.150
0.09009,86.250
0.10811,86.468
0.12612,87.634
0.14414,91.649
0.16216,96.783
0.18018,96.926
0.19819,90.157
0.21621,80.345
0.23423,74.307
0.25225,76.278
0.27027,83.041
0.28828,87.516
0.30630,89.205
0.32432,95.959
0.34234,99.319
0.36035,94.353
0.37837,84.371
0.39639,81.070
0.41441,87.533
0.43242,89.165
0.45044,85.993
0.46846,93.011
0.48648,99.873
0.50450,98.829
0.52251,92.053
0.54053,88.854
0.55855,86.570
0.57657,83.166
0.59458,82.285
0.61260,86.212
0.63062,84.202
0.64864,83.139
0.66665,86.593
0.68467,92.218
0.70269,93.599
0.72071,88.994
0.73873,81.634
0.75674,72.097
0.77476,70.013
0.79278,68.060
0.81080,67.685
0.82881,69.292
0.84683,70.440
0.86485,72.348
0.88287,73.753
0.90088,73.936
0.91890,76.522
0.93692,74.026
0.95494,66.496
0.97296,64.011
0.99097,68.515
1.00899,70.000
1.02701,67.534
1.04503,72.983
1.06304,75.156
1.08106,76.618
1.09908,75.569
1.11710,71.935
1.13511,68.710
1.15313,67.930
1.17115,68.130
1.18917,85.120
1.20719,100.803
1.22520,106.427
1.24322,99.204
1.26124,96.187
1.27926,92.868
1.29727,83.075
1.31529,75.169
1.33331,84.441
1.35133,90.242
1.36934,102.045
1.38736,107.605
1.40538,103.573
1.42340,101.383
1.44142,100.740
1.45943,95.987
1.47745,89.695
1.49547,76.215
1.51349,76.176
1.53150,86.884
1.54952,98.144
1.56754,111.243
1.58556,118.792
1.60357,114.722
1.62159,99.266
1.63961,95.791
1.65763,88.769
1.67565,83.118
1.69366,87.255
1.71168,100.566
1.72970,116.416
1.74772,125.991
1.76573,114.396
1.78375,105.944
1.80177,100.491
1.81979,98.421
1.83780,91.640
1.85582,83.238
1.87384,82.255
1.89186,87.871
1.90988,95.943
1.92789,103.017
1.94591,104.483
1.96393,100.642
1.98195,94.753
1.99996,83.687
2.01798,73.276
2.03600,71.860
2.05402,74.360
2.07203,79.384
2.09005,83.097
2.10807,84.652
2.12609,81.806
2.14411,75.705
2.16212,71.169
2.18014,69.023
2.19816,62.951
2.21618,62.536
2.23419,66.548
2.25221,73.561
2.27023,75.667
2.28825,73.667
2.30626,74.667
2.32428,79.667
2.34230,79.217
2.36032,79.302
2.37834,76.157
2.39635,78.076
2.41437,88.437
2.43239,95.603
2.45041,100.429
2.46842,107.074
2.48644,109.461
2.50446,108.618
2.52248,102.019
2.54049,96.296
2.55851,96.417
2.57653,96.022
2.59455,97.566
2.61257,102.380
2.63058,120.979
2.64860,144.588
2.66662,142.810
2.68464,127.733
2.70265,127.633
2.72067,117.898
2.73869,86.477
2.75671,61.414
2.77472,78.874
2.79274,117.366
2.81076,152.303
2.82878,153.194
2.84680,149.689
2.86481,138.702
2.88283,116.803
2.90085,111.702
2.91887,101.599
2.93688,87.615
2.95490,94.678
2.97292,106.755
2.99094,124.217
3.00895,147.503
3.02697,150.805
3.04499,143.439
3.06301,121.835
3.08103,88.225
3.09904,65.140
3.11706,87.033
3.13508,123.506
3.15310,123.442
3.17111,111.362
3.18913,112.820
3.20715,100.556
3.22517,114.032
3.24318,118.423
3.26120,106.846
3.27922,96.990
3.29724,101.184
3.31526,109.341
3.33327,112.608
3.35129,116.719
3.36931,114.087
3.38733,108.601
3.40534,111.129
3.42336,119.973
3.44138,114.147
3.45940,96.120
3.47741,83.321
3.49543,90.584
3.51345,98.478
3.53147,104.630
3.54949,100.594
3.56750,94.955
3.58552,100.163
3.60354,102.248
3.62156,96.258
3.63957,86.652
3.65759,79.855
3.67561,102.015
3.69363,134.546
3.71164,143.099
3.72966,149.131
3.74768,147.195
3.76570,122.107
3.78372,80.809
3.80173,85.886
3.81975,98.268
3.83777,102.296
3.85579,126.388
3.87380,140.109
3.89182,148.787
3.90984,142.673
3.92786,125.154
3.94587,117.112
3.96389,108.246
3.98191,97.390
3.99993,101.169
4.01795,131.795
4.03596,156.307
4.05398,154.549
4.07200,155.090
4.09002,166.174
4.10803,156.498
4.12605,143.272
4.14407,126.763
4.16209,118.367
4.18010,120.885
4.19812,167.520
4.21614,188.543
4.23416,198.134
4.25218,190.818
4.27019,179.410
4.28821,169.579
4.30623,177.634
4.32425,164.431
4.34226,141.728
4.36028,165.095
4.37830,190.466
4.39632,195.717
4.41433,202.192
4.43235,215.139
4.45037,204.149
4.46839,180.628
4.48641,160.425
4.50442,149.833
4.52244,148.818
4.54046,154.876
4.55848,188.582
4.57649,223.639
4.59451,226.680
4.61253,206.784
4.63055,194.980
4.64856,184.547
4.66658,163.117
4.68460,155.757
4.70262,192.082
4.72064,210.546
4.73865,228.649
4.75667,238.165
4.77469,237.196
4.79271,230.265
4.81072,208.500
4.82874,169.067
4.84676,143.581
4.86478,131.382
4.88279,163.041
4.90081,197.542
4.91883,216.560
4.93685,232.076
4.95487,236.999
4.97288,225.532
4.99090,198.602
5.00892,179.673
5.02694,164.129
5.04495,147.054
5.06297,146.463
5.08099,193.097
5.09901,225.798
5.11702,228.758
5.13504,219.099
5.15306,210.598
5.17108,182.577
5.18910,150.745
5.20711,131.724
5.22513,128.351
5.24315,154.708
5.26117,181.923
5.27918,198.325
5.29720,208.693
5.31522,195.955
5.33324,169.382
5.35125,163.361
5.36927,155.419
5.38729,133.055
5.40531,134.700
5.42333,138.795
5.44134,153.509
5.45936,163.470
5.47738,154.081
5.49540,164.363
5.51341,163.569
5.53143,142.085
5.54945,122.878
5.56747,109.684
5.58548,100.227
5.60350,120.680
5.62152,150.157
5.63954,156.700
5.65756,144.566
5.67557,142.536
5.69359,154.798
5.71161,134.068
5.72963,116.371
5.74764,131.536
5.76566,117.935
5.78368,99.110
5.80170,123.732
5.81972,134.870
5.83773,146.933
5.85575,159.753
5.87377,155.458
5.89179,119.139
5.90980,88.240
5.92782,87.246
5.94584,103.682
5.96386,103.155
5.98187,105.890
5.99989,106.219
6.01791,97.382
6.03593,84.151
6.05395,79.723
6.07196,82.680
6.08998,79.904
6.10800,78.481
6.12602,87.924
6.14403,96.379
6.16205,98.487
6.18007,107.866
6.19809,118.109
6.21610,118.642
6.23412,95.708
6.25214,71.585
6.27016,76.487
6.28818,104.112
6.30619,107.213
6.32421,106.777
6.34223,138.679
6.36025,167.775
6.37826,121.498
6.39628,96.760
6.41430,85.222
6.43232,81.803
6.45033,95.682
6.46835,134.919
6.48637,161.966
6.50439,164.427
6.52240,150.884
6.54042,155.517
6.55844,143.396
6.57646,116.187
6.59448,99.674
6.61249,83.673
6.63051,83.753
6.64853,117.732
6.66655,141.645
6.68456,146.562
6.70258,143.199
6.72060,136.338
6.73862,129.181
6.75663,110.783
6.77465,89.387
6.79267,79.760
6.81069,90.772
6.82871,111.567
6.84672,132.362
6.86474,133.350
6.88276,121.806
6.90078,108.884
6.91879,95.614
6.93681,80.836
6.95483,88.753
6.97285,94.498
6.99086,99.363
7.00888,100.207
7.02690,100.184
7.04492,100.542
7.06294,99.205
7.08095,94.669
7.09897,85.865
7.11699,76.635
7.13501,66.749
7.15302,62.768
7.17104,65.393
7.18906,68.667
7.20708,68.412
7.22509,66.931
7.24311,72.195
7.26113,72.120
7.27915,67.667
7.29717,61.835
7.31518,58.865
7.33320,60.747
7.35122,63.925
7.36924,65.815
7.38725,72.412
7.40527,73.170
7.42329,78.333
7.44131,81.021
7.45932,76.120
7.47734,72.486
7.49536,81.720
7.51338,96.601
7.53140,98.483
7.54941,105.770
7.56743,116.528
7.58545,119.908
7.60347,109.513
7.62148,90.835
7.63950,77.850
7.65752,73.450
7.67554,90.330
7.69355,120.629
7.71157,130.697
7.72959,121.575
7.74761,110.568
7.76563,104.688
7.78364,99.494
7.80166,85.163
7.81968,77.531
7.83770,78.380
7.85571,88.683
7.87373,103.425
7.89175,112.798
7.90977,119.444
7.92778,117.587
7.94580,107.245
7.96382,88.835
7.98184,86.371
7.99986,87.262
8.01787,90.833
8.03589,98.115
8.05391,107.470
8.07193,115.649
8.08994,121.068
8.10796,109.846
8.12598,94.225
8.14400,85.071
8.16201,84.206
8.18003,83.251
8.19805,87.329
8.21607,96.491
8.23409,100.581
8.25210,102.551
8.27012,101.105
8.28814,85.483
8.30616,73.316
8.32417,75.341
8.34219,72.341
8.36021,70.390
8.37823,78.021
8.39625,84.517
8.41426,77.424
8.43228,72.903
8.45030,71.333
8.46832,71.333
8.48633,70.333
8.50435,70.247
8.52237,70.238
8.54039,67.210
8.55840,68.228
8.57642,68.247
8.59444,67.732
8.61246,65.760
8.63048,65.818
8.64849,67.509
8.66651,69.155
8.68453,69.351
8.70255,74.567
8.72056,76.900
8.73858,74.745
8.75660,76.839
8.77462,83.253
8.79263,86.800
8.81065,84.772
8.82867,75.293
8.84669,71.861
8.86471,66.236
8.88272,64.084
8.90074,75.380
8.91876,94.047
8.93678,107.205
8.95479,109.919
8.97281,101.640
8.99083,92.672
9.00885,82.925
9.02686,78.951
9.04488,77.236
9.06290,78.797
9.08092,88.202
9.09894,98.556
9.11695,109.051
9.13497,109.227
9.15299,106.568
9.17101,95.419
9.18902,78.371
9.20704,66.625
9.22506,71.509
9.24308,80.476
9.26109,80.169
9.27911,81.732
9.29713,84.925
9.31515,86.166
9.33317,84.834
9.35118,80.813
9.36920,75.825
9.38722,71.675
9.40524,71.184
9.42325,74.760
9.44127,81.688
9.45929,89.719
9.47731,91.492
9.49532,84.268
9.51334,74.277
9.53136,68.271
9.54938,66.037
9.56740,62.991
9.58541,60.623
9.60343,61.305
9.62145,66.333
