Distance_(cm),Gray_Value
5.6025,186.414
5.6183,164.234
5.6342,168.817
5.6501,184.432
5.6660,187.718
5.6818,183.835
5.6977,178.886
5.7136,172.011
5.7294,112.275
5.7453,81.143
5.7612,117.806
5.7771,158.000
5.7929,146.586
5.8088,155.392
5.8247,151.516
5.8405,94.828
5.8564,72.297
5.8723,99.190
5.8881,139.051
5.9040,170.952
5.9199,175.670
5.9358,176.821
5.9516,174.835
5.9675,141.520
5.9834,108.524
5.9992,147.949
6.0151,173.117
6.0310,174.692
6.0469,177.132
6.0627,178.509
6.0786,157.106
6.0945,117.773
6.1103,145.795
6.1262,168.169
6.1421,179.136
6.1580,177.363
6.1738,179.187
6.1897,178.571
6.2056,152.308
6.2214,110.641
6.2373,127.747
6.2532,167.930
6.2691,180.154
6.2849,174.608
6.3008,173.333
6.3167,164.352
6.3325,130.308
6.3484,107.850
6.3643,155.864
6.3801,175.326
6.3960,180.667
6.4119,179.205
6.4278,172.201
6.4436,136.795
6.4595,107.249
6.4754,107.777
6.4912,141.088
6.5071,169.451
6.5230,186.271
6.5389,179.172
6.5547,147.872
6.5706,96.344
6.5865,64.982
6.6023,71.905
6.6182,84.396
6.6341,93.758
6.6500,85.366
6.6658,59.692
6.6817,42.297
6.6976,40.535
6.7134,40.619
6.7293,36.656
6.7452,58.498
6.7611,82.791
6.7769,109.538
6.7928,108.505
6.8087,78.476
6.8245,58.996
6.8404,84.736
6.8563,121.297
6.8722,144.952
6.8880,149.487
6.9039,149.125
6.9198,152.165
6.9356,105.967
6.9515,60.696
6.9674,108.795
6.9832,169.853
6.9991,183.128
7.0150,186.190
7.0309,171.703
7.0467,140.707
7.0626,104.099
7.0785,71.110
7.0943,95.040
7.1102,159.615
7.1261,187.795
7.1420,183.670
7.1578,158.527
7.1737,106.264
7.1896,77.593
7.2054,94.037
7.2213,138.667
7.2372,171.432
7.2531,178.769
7.2689,181.934
7.2848,165.440
7.3007,101.407
7.3165,47.769
7.3324,70.564
7.3483,114.586
7.3642,118.399
7.3800,142.256
7.3959,137.777
7.4118,111.608
7.4276,73.048
7.4435,54.897
7.4594,68.220
7.4752,93.088
7.4911,108.352
7.5070,112.143
7.5229,105.707
7.5387,84.659
7.5546,54.590
7.5705,39.473
7.5863,49.363
7.6022,73.128
7.6181,90.015
7.6340,92.238
7.6498,89.788
7.6657,78.923
7.6816,68.051
7.6974,76.857
7.7133,104.088
7.7292,127.689
7.7451,135.711
7.7609,124.579
7.7768,104.282
7.7927,79.795
7.8085,74.183
7.8244,99.183
7.8403,135.238
7.8562,151.612
7.8720,149.271
7.8879,156.026
7.9038,135.934
7.9196,93.095
7.9355,86.366
7.9514,134.564
7.9673,172.359
7.9831,174.319
7.9990,172.026
8.0149,138.161
8.0307,78.604
8.0466,63.905
8.0625,114.447
8.0783,159.110
8.0942,167.300
8.1101,163.590
8.1260,162.857
8.1418,119.322
8.1577,85.817
8.1736,81.513
8.1894,113.132
8.2053,142.062
8.2212,150.949
8.2371,139.985
8.2529,120.286
8.2688,93.026
8.2847,75.784
8.3005,82.480
8.3164,112.359
8.3323,135.641
8.3482,142.520
8.3640,128.974
8.3799,106.934
8.3958,76.414
8.4116,64.520
8.4275,69.806
8.4434,86.026
8.4593,95.762
8.4751,105.645
8.4910,110.344
8.5069,102.597
8.5227,72.293
8.5386,63.905
8.5545,75.718
8.5703,97.535
8.5862,111.322
8.6021,118.297
8.6180,114.890
8.6338,99.421
8.6497,64.637
8.6656,63.667
8.6814,75.271
8.6973,103.978
8.7132,133.553
8.7291,138.700
8.7449,116.168
8.7608,89.821
8.7767,71.256
8.7925,76.198
8.8084,87.670
8.8243,103.934
8.8402,124.502
8.8560,132.044
8.8719,117.667
8.8878,98.231
8.9036,90.615
8.9195,98.612
8.9354,108.487
8.9513,110.110
8.9671,114.821
8.9830,125.696
8.9989,108.179
9.0147,67.751
9.0306,48.894
9.0465,63.707
9.0624,85.084
9.0782,104.286
9.0941,108.242
9.1100,92.692
9.1258,65.011
9.1417,45.304
9.1576,41.817
9.1734,53.418
9.1893,74.553
9.2052,92.114
9.2211,92.051
9.2369,73.128
9.2528,51.615
9.2687,39.132
9.2845,38.190
9.3004,58.114
9.3163,73.447
9.3322,78.974
9.3480,80.154
9.3639,63.890
9.3798,49.663
9.3956,48.491
9.4115,72.132
9.4274,77.495
9.4433,85.179
9.4591,89.641
9.4750,83.542
9.4909,66.381
9.5067,53.993
9.5226,54.198
9.5385,69.718
9.5544,89.641
9.5702,100.652
9.5861,99.996
9.6020,86.927
9.6178,55.209
9.6337,38.015
9.6496,50.619
9.6654,64.205
9.6813,71.740
9.6972,97.429
9.7131,116.711
9.7289,97.685
9.7448,57.352
9.7607,43.663
9.7765,56.205
9.7924,78.674
9.8083,89.018
9.8242,97.806
9.8400,93.150
9.8559,76.718
9.8718,57.795
9.8876,45.744
9.9035,42.524
9.9194,49.751
9.9353,55.469
9.9511,63.608
9.9670,66.341
9.9829,57.374
9.9987,42.410
10.0146,36.051
10.0305,39.084
10.0464,46.769
10.0622,50.143
10.0781,52.516
10.0940,50.802
10.1098,46.667
