Distance_(cm),Gray_Value
6.89277,28.573
6.91230,29.638
6.93183,27.621
6.95135,26.569
6.97088,25.280
6.99040,25.497
7.00993,26.591
7.02946,28.085
7.04898,28.021
7.06851,27.153
7.08804,24.985
7.10756,23.511
7.12709,26.000
7.14661,26.002
7.16614,27.000
