Distance_(unit),Gray_Value
6.69981,92.010
6.71879,96.512
6.73777,102.970
6.75675,107.389
6.77573,110.172
6.79471,112.807
6.81369,111.440
6.83267,105.157
6.85165,98.271
6.87063,96.623
6.88961,101.865
6.90859,106.788
6.92757,104.818
6.94655,97.038
6.96553,90.400
6.98451,86.998
7.00349,84.296
7.02247,83.507
7.04145,85.920
7.06043,88.974
7.07941,89.395
7.09839,86.950
7.11737,84.217
7.13635,85.670
7.15533,91.299
7.17431,95.712
7.19329,95.207
7.21227,91.333
7.23125,90.061
7.25022,93.346
7.26920,95.081
7.28818,93.339
7.30716,91.887
7.32614,91.006
7.34512,90.835
7.36410,90.642
7.38308,89.085
7.40206,86.360
7.42104,86.667
7.44002,91.073
7.45900,94.513
7.47798,93.773
7.49696,92.016
7.51594,92.798
7.53492,92.805
7.55390,89.964
7.57288,88.414
7.59186,92.016
7.61084,96.137
7.62982,95.867
7.64880,95.157
7.66778,98.167
